alban;St.Alban
bordeaux;Bordeaux
bourges;Bourges
brest;Brest
civaux;Civaux
clermont;Clermont-Ferrand
golfech;Golfech
larochelle;La Rochelle
laurent;St.Laurent
lehavre;Le Havre
lemans;Le Mans
limoges;Limoges
marseille;Marseille
montpellier;Montpellier
nantes;Nantes
nice;Nice
paluel;Paluel
rennes;Rennes
roscoff;Roscoff
toulouse;Toulouse

aalborg;Aalborg
aberdeen;Aberdeen
amsterdam;Amsterdam
aport_phx;Phoenix Airport
bakersfield;Bakersfield
barstow;Barstow
bergen;Bergen
berlin;Berlin
bern;Bern
bialystok;Bialystok
birmingham;Birmingham
bratislava;Bratislava
bremen;Bremen
brno;Brno
brussel;Brussel
budapest;Budapest
bystrica;Banska Bystrica
calais;Calais
cambridge;Cambridge
camp_verde;Camp Verde
cardiff;Cardiff
carlisle;Carlisle
carlsbad;Carlsbad
carson_city;Carson City
debrecen;Debrecen
dijon;Dijon
dortmund;Dortmund
dover;Dover
dresden;Dresden
duisburg;Duisburg
dusseldorf;Dusseldorf
edinburgh;Edinburgh
ehrenberg;Ehrenberg
el_centro;El Centro
elko;Elko
ely;Ely
erfurt;Erfurt
esbjerg;Esbjerg
eureka;Eureka
europoort;Europoort
felixstowe;Felixstowe
flagstaff;Flagstaff
frankfurt;Frankfurt
frederikshv;Frederikshavn
fresno;Fresno
g_canyon_vlg;Grand Canyon Village
gdansk;Gdansk
gdyne;Gdynia
gdynia;Gdynia
gedser;Gedser
geneve;Geneve
glasgow;Glasgow
goteborg;Goteborg
graz;Graz
grimsby;Grimsby
groningen;Groningen
hamburg;Hamburg
hannover;Hannover
harwich;Harwich
helsingborg;Helsingborg
hirtshals;Hirtshals
holbrook;Holbrook
hornbrook;Hornbrook
hull;Hull
huron;Huron
ijmuiden;IJmuiden
innsbruck;Innsbruck
jackpot;Jackpot
jonkoping;Jonkoping
kalmar;Kalmar
karlskrona;Karlskrona
kassel;Kassel
katowice;Katowice
kayenta;Kayenta
kiel;Kiel
kingman;Kingman
klagenfurt;Klagenfurt am Worthersee
kobenhavn;Kobenhavn
koln;Koln
kosice;Kosice
krakow;Krakow
kristiansand;Kristiansand
las_vegas;Las Vegas
leipzig;Leipzig
liege;Liege
lille;Lille
linkoping;Linkoping
linz;Linz
liverpool;Liverpool
lodz;Lodz
london;London
los_angeles;Los Angeles
lublin;Lublin
luxembourg;Luxembourg
lyon;Lyon
magdeburg;Magdeburg
malmo;Malmo
manchester;Manchester
mannheim;Mannheim
metz;Metz
milano;Milano
munchen;Munchen
newcastle;Newcastle
nogales;Nogales
nurnberg;Nurnberg
nynashamn;Nynashamn
oakdale;Oakdale
oakland;Oakland
odense;Odense
olsztyn;Olsztyn
orebro;Orebro
oslo;Oslo
osnabruck;Osnabruck
ostrava;Ostrava
oxnard;Oxnard
page;Page
paris;Paris
pecs;Pecs
phoenix;Phoenix
pioche;Pioche
plymouth;Plymouth
poznan;Poznan
prague;Prague
primm;Primm
redding;Redding
reims;Reims
reno;Reno
rostock;Rostock
rotterdam;Rotterdam
sacramento;Sacramento
salzburg;Salzburg
san_diego;San Diego
san_francisc;San Francisco
san_rafael;San Rafael
san_simon;San Simon
santa_cruz;Santa Cruz
santa_maria;Santa Maria
sheffield;Sheffield
show_low;Show Low
sierra_vista;Sierra Vista
sodertalje;Sodertalje
southampton;Southampton
stavanger;Stavanger
stockholm;Stockholm
stockton;Stockton
strasbourg;Strasbourg
stuttgart;Stuttgart
swansea;Swansea
szczecin;Szczecin
szeged;Szeged
tonopah;Tonopah
torino;Torino
trelleborg;Trelleborg
truckee;Truckee
tucson;Tucson
ukiah;Ukiah
uppsala;Uppsala
vasteraas;Vasteraas
vaxjo;Vaxjo
venezia;Venezia
verona;Verona
warszawa;Warszawa
wien;Wien
winnemucca;Winnemucca
wroclaw;Wroclaw
yuma;Yuma
zurich;Zurich

batisse_base;Batisse base
batisse_road;Batisse road
batisse_wind;Batisse wind
bhb_raffin;BHB - La Raffinerie
boisserie;BOISSERIE J-P
chimi;Chimi
cont_port_fr;Port de Conteneur
dans_jardin;Dans le Jardin
eco;Eco
gallia_ferry;Gallia Ferries
globeur;Globeur
gomme_monde;Gomme Monde
huilant;Huilant
marina_fr;Marina Fr
mvm_carriere;MVM carriere
nos_pat_brg;Nos Paturages
nos_pat_cf;Nos Paturages
nos_pat_lhv;Nos Paturages
nucleon;Nucleon
subse;Subse
wilnet_trans;Wilnet Transport

42p_print;42 Print
agronord;Agronord
aria_fd_albg;ARIA Food Aalborg
aria_fd_esbj;ARIA Food Esbjerg
aria_fd_jnpg;ARIA Food Jonkoping
aria_fd_trbg;ARIA Food Trelleborg
batisse_hs;Batisse
bcp;BCP
bhv;BHV
bit_rd_grg;Bitumen garage
bit_rd_svc;Bitumen service
bit_rd_wrk;Bitumen work
bjork;Bjork
bn_farm;Bushnell Farms
cha_el_mkt;Charged Market
cha_el_whs;Charged
chm_che_plnt;Chemso Ltd. Plant
chm_che_str;Chemso Ltd.
cm_min_qry;Coastline Mining Quarry
cm_min_str;Coastline Mining
cont_port;Container port
drekkar;Drekkar Trans
du_farm;Darchelle Uzau
ed_mkt;Eddy's
euroacres;EuroAcres
eurogoodies;EuroGoodies
fcp;FCP
fle;FLE
gal_oil_gst;Gallon Oil Gas station
gal_oil_ref;Gallon Oil Refinery
gal_oil_str;Gallon Oil
gnt;GNT
hms_con_svc;HMS Machinery
ika_bohag;Ika Bohag
itcc;ITCC
kaarfor;Kaarfor
konstnr;Konstnorr
konstnr_br;Konstnorr (br)
konstnr_hs;Konstnorr (hs)
konstnr_wind;Konstnorr (wind)
lisette_log;Lisette Logistics
lkwlog;LkwLog GmbH
marina;Marina
ms_stein;MS Stein
nbfc;NBFC
nord_crown;Nordic Crown
nord_sten;Nordic Stenbrott
norr_food;Norrfood
norrsken;Norrsken
ns_chem;NS Chemicals
ns_oil;NS Oil
oak_port;Oakland Shippers
pns_con_grg;Plaster & Sons garage
pns_con_sit;Plaster & Sons (sit)
pns_con_sit2;Plaster & Sons (sit2)
pns_con_whs;Plaster & Sons
polar_fish;Polar Fish
polarislines;Polaris Lines
posped;Posped
quarry;Steinbruch Quarry
re_train;Rail Export
renar;Renar Logistik
sag_tre;Sag & Tre
sanbuilders;Sanbuilders
sc_frm;Sunshine Crops
sc_frm_grg;Sunshine Crops garage
scania_dlr;Scania Dealer
scania_fac;Scania Truck Factory
sellplan;Sellplan
sf_port;Port of San Francisco
sg_whs;SellGoods
skoda;Skoda
stokes;Stokes
tid_mkt;Tidbit
tradeaux;Tradeaux
trameri;Trameri
transinet;Transinet
tree_et;Tree-ET
vitas_pwr;Vitas Power
vm_car_dlr;Voltison Motors dealer
vm_car_pln;Voltison Motors plant
vm_car_whs;Voltison Motors
voitureux;Voitureux
volvo_dlr;Volvo dealer
volvo_fac;Volvo Truck Factory
vpc;VPC
wal_food_mkt;Wallbert Food Market
wal_food_whs;Wallbert Food
wal_mkt;Wallbert Market
wal_whs;Wallbert
wgcc;WGCC

cargo.air_mails;Air mails
cargo.aircft_tires;Aircraft Tires
cargo.backfl_prev;Backflow Preventers
cargo.basil;Basil
cargo.boric_acid;Boric Acid
cargo.bottle_water;Bottled Water
cargo.carb_water;Carbonated Water
cargo.cars_fr;Cars
cargo.chewing_gums;Chewing Gums
cargo.chocolate;Chocolate
cargo.coconut_milk;Coconut Milk
cargo.coconut_oil;Coconut Oil
cargo.comp_process;Computer Processors
cargo.concen_juice;Concentrate Juices
cargo.corks;Corks
cargo.cut_flowers;Cut flowers
cargo.diesel_gen;Diesel Generators
cargo.emp_wine_bar;Empty Wine Barrels
cargo.emp_wine_bot;Empty Wine Bottles
cargo.excav_soil;Excavated Soil
cargo.fuel_oil;Fuel Oil
cargo.granite_cube;Granite Cubes
cargo.gummy_bears;Gummy Bears
cargo.harvest_bins;Harvesting Bins
cargo.hi_volt_cabl;High Voltage Cables
cargo.iced_coffee;Canned Iced Coffee
cargo.lavender;Lavender
cargo.limonades;Limonades
cargo.live_catt_fr;Live Cattle
cargo.med_equip;Medical Equipment
cargo.med_vaccine;Medical Vaccines
cargo.natur_rubber;Natural Rubber
cargo.nonalco_beer;Non-alcoholic Beer
cargo.nylon_cord;Nylon Cord
cargo.olives;Olives
cargo.packag_food;Packaged Food
cargo.post_packag;Post Packages
cargo.press_sl_val;High Pressure Slide Valves
cargo.protec_cloth;Protective Clothing
